,size,median,p-Val,treatment
371,30.0,1.0,1.0,Sign Test
372,30.0,1.0,1.0,Sign Test
373,30.0,1.0,1.0,Sign Test
374,30.0,1.0,1.0,Sign Test
375,30.0,1.0,1.0,Sign Test
376,30.0,1.0,1.0,Sign Test
377,30.0,1.0,1.0,Sign Test
378,30.0,1.0,1.0,Sign Test
379,30.0,1.0,1.0,Sign Test
380,30.0,1.0,1.0,Sign Test
381,30.0,1.0,1.0,Sign Test
382,30.0,1.0,1.0,Sign Test
383,30.0,1.0,1.0,Sign Test
384,30.0,1.0,1.0,Sign Test
385,30.0,1.0,1.0,Sign Test
386,30.0,1.0,1.0,Sign Test
387,30.0,1.0,1.0,Sign Test
388,30.0,1.0,1.0,Sign Test
389,30.0,1.0,1.0,Sign Test
390,30.0,1.0,1.0,Sign Test
391,30.0,1.0,1.0,Sign Test
392,30.0,1.0,1.0,Sign Test
393,30.0,1.0,1.0,Sign Test
394,30.0,1.0,1.0,Sign Test
395,30.0,1.0,1.0,Sign Test
396,30.0,1.0,1.0,Sign Test
397,30.0,1.0,1.0,Sign Test
398,30.0,1.0,1.0,Sign Test
399,30.0,1.0,1.0,Sign Test
400,30.0,1.0,1.0,Sign Test
401,30.0,1.0,1.0,Sign Test
402,30.0,1.0,1.0,Sign Test
403,30.0,1.0,1.0,Sign Test
404,30.0,1.0,1.0,Sign Test
405,30.0,1.0,1.0,Sign Test
406,30.0,1.0,1.0,Sign Test
407,30.0,1.0,1.0,Sign Test
408,30.0,1.0,1.0,Sign Test
409,30.0,1.0,1.0,Sign Test
410,30.0,1.0,1.0,Sign Test
411,30.0,1.0,1.0,Sign Test
412,30.0,1.0,1.0,Sign Test
413,30.0,1.0,1.0,Sign Test
414,30.0,1.0,1.0,Sign Test
415,30.0,1.0,1.0,Sign Test
416,30.0,1.0,1.0,Sign Test
417,30.0,1.0,1.0,Sign Test
418,30.0,1.0,1.0,Sign Test
419,30.0,1.0,1.0,Sign Test
420,30.0,1.0,1.0,Sign Test
421,30.0,1.0,1.0,Sign Test
