,size,median,p-Val,treatment
159,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
160,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
161,30.0,1.0,0.9999997616910574,Wilcoxon Signed Rank Test
162,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
163,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
164,30.0,1.0,0.9999999783976847,Wilcoxon Signed Rank Test
165,30.0,1.0,0.9999999492777686,Wilcoxon Signed Rank Test
166,30.0,1.0,0.9999997810427631,Wilcoxon Signed Rank Test
167,30.0,1.0,0.999999901221716,Wilcoxon Signed Rank Test
168,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
169,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
170,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
171,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
172,30.0,1.0,0.999999901221716,Wilcoxon Signed Rank Test
173,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
174,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
175,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
176,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
177,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
178,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
179,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
180,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
181,30.0,1.0,0.9999999233507796,Wilcoxon Signed Rank Test
182,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
183,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
184,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
185,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
186,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
187,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
188,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
189,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
190,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
191,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
192,30.0,1.0,0.9999997851292598,Wilcoxon Signed Rank Test
193,30.0,1.0,0.9999997159170347,Wilcoxon Signed Rank Test
194,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
195,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
196,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
197,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
198,30.0,1.0,0.9999997944873794,Wilcoxon Signed Rank Test
199,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
200,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
201,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
202,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
203,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
204,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
205,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
206,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
207,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
208,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
209,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
210,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
211,30.0,1.0,0.9999999783976847,Wilcoxon Signed Rank Test
212,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
213,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
214,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
215,30.0,1.0,0.9999998619610672,Wilcoxon Signed Rank Test
216,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
217,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
218,30.0,1.0,0.999999824121474,Wilcoxon Signed Rank Test
219,30.0,1.0,0.9999996289912667,Wilcoxon Signed Rank Test
220,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
221,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
222,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
223,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
224,30.0,1.0,0.9999997944873794,Wilcoxon Signed Rank Test
225,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
226,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
227,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
228,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
229,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
230,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
231,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
232,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
233,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
234,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
235,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
236,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
237,30.0,1.0,0.9999997825828848,Wilcoxon Signed Rank Test
238,30.0,1.0,0.9999998619610672,Wilcoxon Signed Rank Test
239,30.0,1.0,0.999999752734971,Wilcoxon Signed Rank Test
240,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
241,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
242,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
243,30.0,1.0,0.999999901221716,Wilcoxon Signed Rank Test
244,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
245,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
246,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
247,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
248,30.0,1.0,0.9999997565008357,Wilcoxon Signed Rank Test
249,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
250,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
251,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
252,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
253,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
254,30.0,1.0,0.999999901221716,Wilcoxon Signed Rank Test
255,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
256,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
257,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
258,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
259,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
260,30.0,1.0,0.9999999460871573,Wilcoxon Signed Rank Test
261,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
262,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
263,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
264,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
265,30.0,1.0,0.9999997565008357,Wilcoxon Signed Rank Test
266,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
267,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
268,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
269,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
270,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
271,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
272,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
273,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
274,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
275,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
276,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
277,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
278,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
279,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
280,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
281,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
282,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
283,30.0,1.0,0.9999997504517785,Wilcoxon Signed Rank Test
284,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
285,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
286,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
287,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
288,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
289,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
290,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
291,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
292,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
293,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
294,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
295,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
296,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
297,30.0,1.0,0.9999997061829412,Wilcoxon Signed Rank Test
298,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
299,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
300,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
301,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
302,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
303,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
304,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
305,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
306,30.0,1.0,0.9999999492777686,Wilcoxon Signed Rank Test
307,30.0,1.0,0.9999997851292598,Wilcoxon Signed Rank Test
308,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
